,Units,Date,Month,Year,Date.1,Time,Temperature,Ph,Algae Coverage,Algae species,Fauna Species,Snails,Nerites,Crabs,Barnacles,Limpets,Landslugs,Tubeworm,Anemone,Shrimps,Bivalves,Ascidians,Sponge,Other,is_treatment,shannons_index
20,E2,1,4,2016,4/1/16,11:35:00 AM,34.5,9.46,30,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0
21,E3,1,4,2016,4/1/16,11:37:00 AM,34.5,9.28,30,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0
22,E4 (CON),1,4,2016,4/1/16,11:38:00 AM,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
23,E5,1,4,2016,4/1/16,11:41:00 AM,,,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0
24,E6,1,4,2016,4/1/16,11:43:00 AM,34.6,9.19,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
25,E7 (CON),1,4,2016,4/1/16,11:44:00 AM,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,E8,1,4,2016,4/1/16,11:45:00 AM,34.4,9.25,50,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0
27,E9,1,4,2016,4/1/16,11:48:00 AM,34.2,9.07,50,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0
28,W1 (CON),1,4,2016,4/1/16,11:50:00 AM,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,W2,1,4,2016,4/1/16,11:51:00 AM,34.4,9.27,40,1,1,40,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0
30,W3,1,4,2016,4/1/16,11:52:00 AM,,,5,1,2,30,0,0,10,0,0,0,0,0,0,0,0,0,1,0.5623351446188083
31,W4,1,4,2016,4/1/16,11:54:00 AM,34.5,9.54,55,1,2,50,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0
32,W5 (CON),1,4,2016,4/1/16,11:59:00 AM,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,W6,1,4,2016,4/1/16,12:00:00 PM,34.7,9.53,60,1,2,10,0,0,40,0,0,0,0,0,0,0,0,0,1,0.5004024235381879
34,W7,1,4,2016,4/1/16,12:03:00 PM,34.7,9.66,80,1,2,50,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0
35,W8,1,4,2016,4/1/16,12:05:00 PM,34.7,9.68,75,1,3,40,0,1,0,0,0,0,0,0,0,0,0,0,1,0.11466528220290656
36,W9,1,4,2016,4/1/16,12:08:00 PM,34.6,9.74,80,1,3,40,2,0,0,0,0,0,0,0,0,0,0,0,1,0.19144408195771734
37,W10,1,4,2016,4/1/16,12:11:00 PM,34.6,9.74,75,1,1,40,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0
38,E1,11,5,2016,5/11/16,9:00:00 AM,29.8,,100,1,2,10,0,1,30,0,0,0,0,0,0,0,0,0,1,0.6632849354895488
39,E2,11,5,2016,5/11/16,9:03:00 AM,29.7,,95,1,4,15,0,1,20,10,0,0,0,0,0,0,0,0,1,1.1425272787161944
40,E3,11,5,2016,5/11/16,9:07:00 AM,29.8,,100,1,2,15,0,3,0,0,0,0,0,0,0,0,0,0,1,0.45056120886630463
41,E4 (CON),11,5,2016,5/11/16,9:10:00 AM,31.5,,50,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-0.0
42,E5,11,5,2016,5/11/16,9:11:00 AM,31.5,,5,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0
43,E6,11,5,2016,5/11/16,9:15:00 AM,30.0,,80,1,3,15,0,2,20,0,0,0,0,0,0,0,0,0,1,0.856277565381174
44,E7 (CON),11,5,2016,5/11/16,9:18:00 AM,31.5,,20,1,2,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0.6615632381579821
45,E8,11,5,2016,5/11/16,9:19:00 AM,30.0,,80,1,3,30,0,0,0,10,2,0,0,0,0,0,0,0,1,0.7270013625470586
46,E9,11,5,2016,5/11/16,9:25:00 AM,30.0,,80,1,2,10,0,0,0,0,1,0,0,0,0,0,0,0,1,0.30463609734923813
47,W1 (CON),11,5,2016,5/11/16,9:27:00 AM,31.5,,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
48,W2,11,5,2016,5/11/16,9:30:00 AM,30.1,,75,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0
49,W3,11,5,2016,5/11/16,9:35:00 AM,30.1,,5,1,2,50,0,0,10,0,0,0,0,0,0,0,0,0,1,0.45056120886630463
50,W4,11,5,2016,5/11/16,9:40:00 AM,30.1,,45,1,1,50,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0
51,W5 (CON),11,5,2016,5/11/16,9:46:00 AM,31.5,,5,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,-0.0
52,W6,11,5,2016,5/11/16,9:47:00 AM,30.2,,20,1,3,150,2,0,80,0,0,0,0,0,0,0,0,0,1,0.6900834093841168
53,W7,11,5,2016,5/11/16,9:50:00 AM,30.2,,5,2,3,120,1,0,50,0,0,0,0,0,0,0,0,0,1,0.6381538523783743
54,W8,11,5,2016,5/11/16,9:55:00 AM,30.2,,70,1,3,90,4,0,70,0,0,0,0,0,0,0,0,0,1,0.7832645088140854
55,W9,11,5,2016,5/11/16,9:59:00 AM,30.2,,85,1,2,100,2,0,30,0,0,0,0,0,0,0,0,0,1,0.610534995239449
56,W10,11,5,2016,5/11/16,10:05:00 AM,30.2,,80,1,3,100,2,1,0,0,0,0,0,0,0,0,0,0,1,0.15023080415265488
57,E1,31,5,2016,5/31/16,11:30:00 AM,32.4,9.18,100,1,4,0,0,1,40,2,2,1,0,0,0,0,0,0,1,0.560646464167416
58,E2,31,5,2016,5/31/16,11:35:00 AM,32.2,9.3,70,1,2,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0.37677016125643675
59,E3,31,5,2016,5/31/16,11:39:00 AM,31.8,9.2,90,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.6931471805599453
60,E4 (CON),31,5,2016,5/31/16,11:45:00 AM,30.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
61,E5,31,5,2016,5/31/16,11:46:00 AM,30.5,,20,1,2,10,0,0,0,1,0,0,0,0,0,0,0,0,1,0.30463609734923813
62,E6,31,5,2016,5/31/16,11:50:00 AM,31.9,9.36,95,1,2,15,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0
63,E7 (CON),31,5,2016,5/31/16,11:51:00 AM,30.5,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
64,E8,31,5,2016,5/31/16,11:55:00 AM,31.8,9.32,80,1,3,0,0,2,0,10,2,0,1,0,0,0,0,0,1,0.9881542242901942
65,E9,31,5,2016,5/31/16,12:00:00 PM,31.3,9.3,100,1,4,10,0,3,0,0,2,0,1,0,0,0,0,0,1,1.040839837423239
66,W1 (CON),31,5,2016,5/31/16,12:02:00 PM,30.5,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
67,W2,31,5,2016,5/31/16,12:07:00 PM,33.4,9.39,100,1,2,20,0,0,0,10,0,0,0,0,0,0,0,0,1,0.6365141682948128
68,W3,31,5,2016,5/31/16,12:11:00 PM,30.5,,0,0,3,40,0,1,10,15,0,0,0,0,0,0,0,0,1,0.9896277403441368
69,W4,31,5,2016,5/31/16,12:15:00 PM,32.5,9.46,50,2,3,200,0,0,40,20,0,0,0,0,0,0,0,0,1,0.6870920273799715
70,W5 (CON),31,5,2016,5/31/16,12:20:00 PM,30.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
71,W6,31,5,2016,5/31/16,12:22:00 PM,32.8,9.39,10,2,4,200,0,1,30,40,0,0,0,0,0,0,0,0,1,0.7709211348131716
72,W7,31,5,2016,5/31/16,12:26:00 PM,32.9,9.34,15,2,4,300,0,0,50,40,0,0,1,0,0,0,0,0,1,0.7147662023566571
73,W8,31,5,2016,5/31/16,12:31:00 PM,33.2,9.5,85,3,2,100,0,0,100,0,0,0,0,0,0,0,0,0,1,0.6931471805599453
74,W9,31,5,2016,5/31/16,12:35:00 PM,33.5,9.35,90,1,2,80,0,0,20,0,0,0,0,0,0,0,0,0,1,0.5004024235381879
75,W10,31,5,2016,5/31/16,12:40:00 PM,32.7,9.39,90,1,2,50,0,0,20,0,0,0,0,0,0,0,0,0,1,0.5982695885852573
76,E1,13,6,2016,6/13/16,10:56:00 AM,32.4,8.66,100,2,2,10,0,0,0,10,0,0,0,0,0,0,0,0,1,0.6931471805599453
77,E2,13,6,2016,6/13/16,11:04:00 AM,32.8,8.84,100,3,2,10,0,0,0,50,0,0,0,0,0,0,0,0,1,0.45056120886630463
78,E3,13,6,2016,6/13/16,11:13:00 AM,32.2,8.93,100,1,1,0,0,0,0,10,1,0,0,0,0,0,0,0,1,0.30463609734923813
79,E4 (CON),13,6,2016,6/13/16,11:17:00 AM,30.4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
80,E5,13,6,2016,6/13/16,11:18:00 AM,30.4,,3,1,4,50,0,1,100,40,0,0,0,0,0,0,0,0,1,1.0445595692258243
81,E6,13,6,2016,6/13/16,11:23:00 AM,33.2,9.05,80,1,3,10,0,1,0,25,0,0,0,0,0,0,0,0,1,0.7085815342437357
82,E7 (CON),13,6,2016,6/13/16,11:29:00 AM,30.4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
83,E8,13,6,2016,6/13/16,11:30:00 AM,33.7,9.08,90,1,5,5,0,1,5,25,4,0,0,0,0,0,0,0,1,1.1360931493507966
84,E9,13,6,2016,6/13/16,11:38:00 AM,33.6,9.06,90,3,3,20,0,3,100,100,2,0,1,0,0,0,0,0,1,1.0593367076978506
85,W1 (CON),13,6,2016,6/13/16,11:45:00 AM,30.4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
86,W2,13,6,2016,6/13/16,11:46:00 AM,34.3,9.1,90,1,2,20,0,0,50,0,0,0,0,0,0,0,0,0,1,0.5982695885852573
87,W3,13,6,2016,6/13/16,11:51:00 AM,30.4,,2,0,3,120,0,1,100,0,0,0,0,0,0,0,0,0,1,0.7148322592885462
88,W4,13,6,2016,6/13/16,11:55:00 AM,34.0,9.1,65,2,4,150,1,0,100,100,0,0,0,0,0,0,0,0,1,1.0954604932320864
89,W5 (CON),13,6,2016,6/13/16,11:57:00 AM,30.4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
90,W6,13,6,2016,6/13/16,11:58:00 AM,34.4,8.93,15,2,3,100,0,1,100,100,0,0,0,0,0,0,0,0,1,1.1172396474849973
91,W7,13,6,2016,6/13/16,12:01:00 PM,34.4,9.0,20,3,3,50,0,0,100,10,0,0,0,0,0,0,0,0,1,0.8305236914828464
92,W8,13,6,2016,6/13/16,12:06:00 PM,34.4,9.29,60,3,3,20,2,0,100,0,0,0,0,0,0,0,0,0,1,0.5268246641512168
93,W9,13,6,2016,6/13/16,12:10:00 PM,34.6,9.34,80,2,2,50,5,0,100,0,0,0,0,0,0,0,0,0,1,0.7584873205812663
94,W10,13,6,2016,6/13/16,12:11:00 PM,34.6,9.24,70,1,5,15,5,3,100,10,0,0,0,0,0,0,0,0,1,0.8639833464664337
95,E1,27,6,2016,6/27/16,10:28:00 AM,28.7,8.43,90,2,4,10,0,2,0,18,4,0,0,0,0,0,0,0,1,1.1150659840964299
96,E2,27,6,2016,6/27/16,10:45:00 AM,29.3,8.43,70,1,4,20,0,0,68,50,0,0,0,0,0,0,0,0,1,0.9965122380958831
97,E3,27,6,2016,6/27/16,10:59:00 AM,29.8,8.53,90,1,4,3,0,1,5,55,0,0,0,0,0,0,0,0,1,0.5378463393602855
98,E4 (CON),27,6,2016,6/27/16,11:00:00 AM,29.1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
99,E5,27,6,2016,6/27/16,11:06:00 AM,29.1,,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-0.0
100,E6,27,6,2016,6/27/16,11:13:00 AM,30.3,8.63,95,1,2,13,0,0,0,22,0,0,0,0,0,0,0,0,1,0.659711615178473
101,E7 (CON),27,6,2016,6/27/16,11:20:00 AM,29.1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
102,E8,27,6,2016,6/27/16,11:22:00 AM,30.8,8.65,85,1,4,20,0,0,5,10,0,1,0,0,0,0,0,0,1,1.0560832172563661
103,E9,27,6,2016,6/27/16,11:30:00 AM,30.9,8.84,90,2,3,0,0,0,23,5,1,0,0,0,0,0,0,0,1,0.6030352600367863
104,W1 (CON),27,6,2016,6/27/16,11:38:00 AM,29.1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
105,W2,27,6,2016,6/27/16,11:50:00 AM,31.6,8.84,100,2,2,0,0,1,3,3,0,4,0,0,0,0,0,0,1,1.2945451658448959
106,W3,27,6,2016,6/27/16,12:07:00 AM,29.1,,20,1,3,3,2,0,60,0,0,0,0,0,0,0,0,0,1,0.32295950127332534
107,W4,27,6,2016,6/27/16,12:10:00 PM,32.1,9.48,95,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,-0.0
108,W5 (CON),27,6,2016,6/27/16,12:16:00 PM,29.1,,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,-0.0
109,W6,27,6,2016,6/27/16,12:18:00 PM,32.3,9.45,95,3,4,1,1,3,1,0,0,0,0,0,0,0,0,0,1,1.242453324894
110,W7,27,6,2016,6/27/16,12:25:00 PM,32.2,9.49,80,3,3,4,4,2,0,0,0,0,0,0,0,0,0,0,1,1.0549201679861442
111,W8,27,6,2016,6/27/16,12:32:00 PM,32.4,9.6,100,3,3,0,3,4,500,0,0,0,0,0,0,0,0,0,1,0.08226827475177531
112,W9,27,6,2016,6/27/16,12:38:00 PM,32.3,9.64,100,2,2,7,5,0,0,0,0,0,0,0,0,0,0,0,1,0.6791932659915256
113,W10,27,6,2016,6/27/16,12:45:00 PM,32.4,9.58,100,2,3,3,4,0,0,1,0,0,0,0,0,0,0,0,1,0.9743147528693494
114,E1,23,8,2016,8/23/16,9:58:00 AM,28.9,,50,1,4,15,8,1,120,0,0,10,0,0,0,0,0,0,1,0.7851269828437732
115,E2,23,8,2016,8/23/16,10:05:00 AM,29.0,,30,3,4,10,8,2,0,0,0,50,0,1,0,0,0,0,1,0.9295977940003812
116,E3,23,8,2016,8/23/16,10:12:00 AM,29.4,,40,1,3,15,2,3,0,0,0,0,0,0,0,0,0,0,1,0.7305880613711224
117,E4 (CON),23,8,2016,8/23/16,10:17:00 AM,27.7,,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
118,E5,23,8,2016,8/23/16,10:19:00 AM,27.7,,5,1,3,5,2,0,5,3,0,0,0,0,0,0,0,0,1,1.3229495110045286
119,E6,23,8,2016,8/23/16,10:22:00 AM,30.6,,40,2,2,0,0,5,0,0,0,0,0,0,3,0,0,0,1,0.6615632381579821
120,E7 (CON),23,8,2016,8/23/16,10:25:00 AM,27.7,,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
121,E8,23,8,2016,8/23/16,10:27:00 AM,31.5,,30,2,3,50,0,0,40,20,1,5,0,0,0,0,0,0,1,1.2094680922338208
122,E9,23,8,2016,8/23/16,10:34:00 AM,31.9,,20,2,5,100,0,1,50,30,0,0,1,0,0,0,0,0,1,1.0383248721312948
123,W1 (CON),23,8,2016,8/23/16,10:40:00 AM,27.7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
124,W2,23,8,2016,8/23/16,10:43:00 AM,32.0,,20,3,4,5,0,2,0,5,0,2,0,0,0,0,0,0,1,1.2914167691452023
125,W3,23,8,2016,8/23/16,10:45:00 AM,27.7,,5,1,4,30,2,0,30,10,0,0,0,0,0,0,0,0,1,1.1032773941439766
126,W4,23,8,2016,8/23/16,10:49:00 AM,32.1,,25,1,4,15,6,0,8,30,0,3,0,0,0,0,0,0,1,1.3313505063159117
127,W5 (CON),23,8,2016,8/23/16,10:52:00 AM,27.7,,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,-0.0
128,W6,23,8,2016,8/23/16,10:56:00 AM,32.5,,40,2,4,5,3,3,0,0,0,10,0,0,0,0,0,0,1,1.2509646175272506
129,W7,23,8,2016,8/23/16,11:02:00 AM,32.7,,50,4,3,0,3,0,90,0,0,20,0,0,0,1,0,0,1,0.629239214475127
130,W8,23,8,2016,8/23/16,11:08:00 AM,31.7,,50,2,3,0,7,0,80,0,0,30,0,0,0,0,0,0,1,0.7773925393519239
131,W9,23,8,2016,8/23/16,11:10:00 AM,31.7,,65,2,4,30,4,3,0,0,0,5,0,0,0,0,0,0,1,0.9061428248900574
132,W10,23,8,2016,8/23/16,11:13:00 AM,31.3,,80,2,4,8,7,0,15,0,0,30,0,0,0,0,0,0,1,1.2124515981683726
133,E1,5,10,2016,10/5/16,5:57:00 PM,29.9,9.08,80,2,3,42,0,0,9,0,0,10,0,0,0,0,0,0,1,0.8357427806672801
134,E2,5,10,2016,10/5/16,6:05:00 PM,29.9,9.34,75,3,3,20,0,1,38,0,0,0,0,0,0,0,0,0,1,0.7191828754195757
135,E3,5,10,2016,10/5/16,6:15:00 PM,29.4,9.04,70,2,3,121,0,1,15,0,0,0,0,0,0,0,0,0,1,0.3877808598884255
136,E4 (CON),5,10,2016,10/5/16,6:25:00 PM,30.4,,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
137,E5,5,10,2016,10/5/16,6:28:00 PM,30.4,,3,1,2,0,0,0,10,45,0,0,0,0,0,0,0,0,1,0.47413931305783735
138,E6,5,10,2016,10/5/16,6:35:00 PM,29.3,8.75,80,3,3,0,0,3,10,0,0,5,0,0,0,0,0,0,1,0.9809896824453154
139,E7 (CON),5,10,2016,10/5/16,6:40:00 PM,30.4,,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
140,E8,5,10,2016,10/5/16,6:41:00 PM,29.4,8.88,50,3,3,18,3,0,45,0,0,2,0,0,0,0,0,0,1,0.866439544750819
141,E9,5,10,2016,10/5/16,6:46:00 PM,29.1,8.83,25,2,4,5,3,0,50,0,0,25,1,0,0,0,0,0,1,1.0091968902565618
142,W1 (CON),5,10,2016,10/5/16,6:50:00 PM,30.4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
143,W2,5,10,2016,10/5/16,6:51:00 PM,29.3,8.72,30,2,3,15,0,2,20,70,0,0,0,0,0,0,0,0,1,0.9409002382732334
144,W3,5,10,2016,10/5/16,6:55:00 PM,30.0,,5,1,3,150,1,0,35,0,0,0,0,0,0,0,0,0,1,0.5158946507746645
145,W4,5,10,2016,10/5/16,7:00:00 PM,29.1,8.74,15,1,2,160,2,0,70,5,0,0,0,0,0,0,0,0,1,0.7471489120036635
146,W5 (CON),5,10,2016,10/5/16,7:03:00 PM,30.0,,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,-0.0
147,W6,5,10,2016,10/5/16,7:04:00 PM,29.1,8.94,50,2,2,65,1,0,10,0,0,0,0,0,0,0,0,0,1,0.45756197879742494
148,W7,5,10,2016,10/5/16,7:14:00 PM,28.9,8.84,50,2,3,23,3,0,15,0,0,0,0,0,0,1,0,0,1,0.9749801694998462
149,W8,5,10,2016,10/5/16,7:12:00 PM,29.1,8.67,30,2,3,9,3,0,80,0,0,0,0,0,0,0,0,0,1,0.46056043752794434
150,W9,5,10,2016,10/5/16,7:10:00 PM,28.6,8.79,30,1,3,30,1,0,40,0,0,0,0,0,0,0,0,0,1,0.7473122768381871
151,W10,5,10,2016,10/5/16,7:09:00 PM,29.0,8.64,30,1,3,40,4,0,40,0,0,0,0,0,0,0,0,0,1,0.8515842539195699
152,E1,19,10,2016,10/19/16,6:55:00 PM,29.1,9.95,80,3,3,35,0,2,0,0,0,120,0,0,0,0,0,0,1,0.5955930305260475
153,E2,19,10,2016,10/19/16,6:59:00 PM,29.0,11.83,70,4,3,0,0,0,65,15,0,100,0,0,0,0,0,0,1,0.9014404944537732
154,E3,19,10,2016,10/19/16,7:04:00 PM,28.9,9.65,80,2,4,5,0,1,0,0,0,90,0,0,0,0,1,0,1,0.31666912394777086
155,E4 (CON),19,10,2016,10/19/16,7:09:00 PM,29.0,,20,1,3,14,0,0,20,0,4,0,0,0,0,0,0,0,0,0.9426749615639383
156,E5,19,10,2016,10/19/16,7:10:00 PM,29.0,,10,1,2,19,0,0,20,60,0,0,0,0,0,0,0,0,1,0.9434061146945067
157,E6,19,10,2016,10/19/16,7:14:00 PM,29.1,12.85,20,2,3,6,0,1,60,40,0,90,0,0,0,0,0,0,1,1.1768622107533404
158,E7 (CON),19,10,2016,10/19/16,7:19:00 PM,29.0,,60,1,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0
159,E8,19,10,2016,10/19/16,7:20:00 PM,29.2,12.77,40,3,3,8,5,2,0,0,0,30,1,0,0,0,0,0,1,1.043751446345753
160,E9,19,10,2016,10/19/16,7:23:00 PM,29.2,12.9,30,3,3,18,4,0,0,0,0,70,1,0,0,0,0,0,1,0.7157550197116898
161,W1 (CON),19,10,2016,10/19/16,7:25:00 PM,29.0,,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,-0.0
162,W2,19,10,2016,10/19/16,7:26:00 PM,29.2,9.1,25,2,3,0,0,0,80,130,0,0,0,0,0,0,0,0,1,0.6645284386549151
163,W3,19,10,2016,10/19/16,7:30:00 PM,29.0,,5,1,5,21,2,1,50,0,0,0,1,0,0,0,0,0,1,0.8385225692067229
164,W4,19,10,2016,10/19/16,7:35:00 PM,29.2,9.11,10,2,2,32,2,0,200,50,0,0,1,0,30,0,0,0,1,1.087206326820584
165,W5 (CON),19,10,2016,10/19/16,7:38:00 PM,29.0,,0,0,1,10,0,0,0,5,0,0,0,0,0,0,0,0,0,0.6365141682948128
166,W6,19,10,2016,10/19/16,7:39:00 PM,29.2,9.22,10,3,2,21,2,0,40,0,0,0,0,0,0,0,0,0,1,0.7641435562666243
167,W7,19,10,2016,10/19/16,7:41:00 PM,29.3,8.98,25,2,3,21,10,0,40,0,0,0,0,0,1,0,0,0,1,1.019499448367586
168,W8,19,10,2016,10/19/16,7:43:00 PM,29.4,9.02,10,2,3,8,10,0,0,10,0,0,0,0,0,0,0,0,1,1.0933747175566468
169,W9,19,10,2016,10/19/16,7:47:00 PM,29.2,9.21,10,1,3,16,9,1,40,0,0,0,0,0,0,0,0,0,1,0.9822059705655175
170,W10,19,10,2016,10/19/16,7:50:00 PM,29.3,9.05,10,1,3,3,5,0,30,0,0,0,0,0,0,0,0,0,1,0.6539296366200833
171,E1,14,12,2016,12/14/16,3:56:00 PM,33.6,9.69,95,3,3,30,0,1,0,0,0,80,0,0,0,0,0,0,1,0.6320702713684135
172,E2,14,12,2016,12/14/16,4:06:00 PM,33.9,9.75,90,3,3,25,0,0,0,0,0,90,0,0,0,1,0,0,1,0.5686353122147364
173,E3,14,12,2016,12/14/16,4:14:00 PM,34.1,9.77,100,3,2,0,0,0,0,0,0,30,0,0,0,1,0,0,1,0.1425058673927378
174,E4 (CON),14,12,2016,12/14/16,4:17:00 PM,33.3,,80,1,2,30,0,0,20,0,0,0,0,0,0,0,0,0,0,0.6730116670092565
175,E5,14,12,2016,12/14/16,4:18:00 PM,33.3,,20,1,2,15,0,0,250,0,0,0,0,0,0,0,0,0,1,0.217518571336808
176,E6,14,12,2016,12/14/16,4:23:00 PM,34.0,9.79,70,3,3,12,0,1,70,0,0,0,0,0,0,0,0,0,1,0.4765087193518855
177,E7 (CON),14,12,2016,12/14/16,4:26:00 PM,33.3,,100,1,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0
178,E8,14,12,2016,12/14/16,4:28:00 PM,33.8,9.84,95,3,1,10,0,1,30,0,0,0,0,0,0,0,0,0,1,0.6632849354895488
179,E9,14,12,2016,12/14/16,4:33:00 PM,34.0,9.83,85,3,5,20,15,1,0,0,0,0,1,0,0,1,0,0,1,0.991917778473413
180,W1 (CON),14,12,2016,12/14/16,4:42:00 PM,33.3,,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
